site_id	name	wiki_slug	place_type
21	Iguazu National Park	Iguazu_National_Park	natural
22	Uluru-Kata Tjuta National Park	Uluru-Kata_Tjuta_National_Park	natural
23	Historic Centre of Vienna	Vienna	city
24	Angkor	Angkor	archaeological
25	Head-Smashed-In Buffalo Jump	Head-Smashed-In_Buffalo_Jump	archaeological
26	Summer Palace, Beijing	Summer_Palace	cultural
27	Old Town of Lijiang	Lijiang	city
28	Historic Centre of Tallinn	Tallinn	city
29	Ellora Caves	Ellora_Caves	archaeological
30	Venice and its Lagoon	Venice	city
31	Historic Monuments of Ancient Kyoto	Kyoto	city
32	Petra	Petra	archaeological
33	Timbuktu	Timbuktu	city
34	Historic Sanctuary of Machu Picchu	Machu_Picchu	archaeological
35	Historic City of Toledo	Toledo,_Spain	city
36	Göbekli Tepe	Göbekli_Tepe	archaeological
37	Kyiv (Saint-Sophia Cathedral)	Kyiv	city
38	Taos Pueblo	Taos_Pueblo	archaeological
39	Cahokia Mounds	Cahokia	archaeological
40	Samarkand	Samarkand	city
