id,name,region,lon,lat
Id13,Anindilyagwa,Australia,137,-14
Id11,Gidjingali,Australia,135,-12
Id3,Tiwi,Australia,131,-12
Id2,"Yolngu, Dhuwal",Australia,136,-12
Cf4,Brazilians,Brazil,-47,-43
Sb1,Callinago,Caribbean,-61,15
Sb9,Haitians,Caribbean,-72,18
Sb8,Taíno,Caribbean,-75,19
Ad29,Hadimu,East Tropical Africa,40,-6
Ad28,Zigula,East Tropical Africa,39,-6
Ia9,Ami,Eastern Asia,121,22
Ed13,Ishigakians,Eastern Asia,124,24
Ed15a,Miyakans,Eastern Asia,125,24
Ed7,Okinawans,Eastern Asia,128,26
Ia6,Paiwan,Eastern Asia,121,22
Ia14,Tao,Eastern Asia,122,22
Ei7,Karen,Indo-China,97,17
Ei9,Mogh,Indo-China,92,20
Ej6,Moken,Indo-China,98,12
Eh5,Nicobarese,Indo-China,92,9
Cd11,Guanche,Macaronesia,-16,28
Ic2,Alorese,Malesia,125,-8
Ic11,Ambonese,Malesia,128,-4
Ib3,Balinese,Malesia,115,-8
Ic7,Ili-Mandiri,Malesia,123,-8
Ic8,Kei,Malesia,133,-6
Ic13,Kodi,Malesia,119,-10
Ic1,Macassarese,Malesia,119,-5
Ib7,Mentaweians,Malesia,100,-3
Ic4,Rotinese,Malesia,123,-11
Ia12,Sugbuanon,Malesia,124,10
Ic12,Sumbawanese,Malesia,118,-4
Ic6,Tanimbarese,Malesia,131,-8
Nj6,Huave,Mexico,-95,16
Ij2,Māori,New Zealand,175,-35
Ij6,Hawaiians,North-Central Pacific,-156,20
Cd19,Sahel,Northern Africa,11,35
Sc10,Lokono,Northern South America,-57,6
If12,Bikinians,Northwestern Pacific,165,12
If15,Carolinians,Northwestern Pacific,146,15
If8,Chamorro,Northwestern Pacific,145,15
If4,Ifaluk,Northwestern Pacific,147,7
Ii7,Kapingamarangi,Northwestern Pacific,155,1
If11,Kosraeans,Northwestern Pacific,163,5
If16,Lamotrek,Northwestern Pacific,146,7
If3,Majuro,Northwestern Pacific,171,7
If17,Marshallese - Jaluit atoll,Northwestern Pacific,169,6
If10,Nomoians,Northwestern Pacific,153,6
If1,Palauans,Northwestern Pacific,135,7
If5,Ponapeans,Northwestern Pacific,158,7
If2,Trukese,Northwestern Pacific,152,7
If9,Ulithians,Northwestern Pacific,140,10
If6,Yapese,Northwestern Pacific,138,9
Nb19,Lower Chinook,Northwestern U.S.A.,-124,46
Nb24,Makah,Northwestern U.S.A.,-125,48
Nb18,Quileute,Northwestern U.S.A.,-125,48
Ie15,Abelam,Papuasia,-145,4
Ig13,Aua,Papuasia,143,-2
Ig15,Bakovi,Papuasia,150,-5
Ie27,Banaro,Papuasia,145,-4
Ie34,Bgu,Papuasia,140,-2
Ie28,Busama,Papuasia,147,-7
Ig16,Bwaidoga,Papuasia,150,-9
Ig12,Choiseulese,Papuasia,156,-6
Ig14,Dahuni,Papuasia,150,-10
Ie39,Elema,Papuasia,145,-8
Ig20,Kaoka,Papuasia,161,-10
Ie18,Kimam,Papuasia,138,-7
Ig17,Kombe,Papuasia,149,-5
Ig3,Kurtatchi,Papuasia,154,-5
Ig7,Lakalai,Papuasia,151,-5
Ig4,Lesu,Papuasia,153,-3
Ie29,Manam,Papuasia,145,-4
Ie14,Miriam,Papuasia,144,-10
Ii5,Ontong Java,Papuasia,160,-5
Ii10,Rennell Islanders,Papuasia,160,-12
Ig11,Rossel Islanders,Papuasia,154,-9
Ig21,Tangu,Papuasia,153,-3
Ig2,Trobriands,Papuasia,151,-8
Ig6,Ulawans,Papuasia,161,-10
Ie2,Wantoat,Papuasia,147,-7
Ie6,Waropen,Papuasia,137,-2
Ie4,Wogeo,Papuasia,144,-3
ec13,Itelmen,Russian Far East,168,55
Ec5,Koryak,Russian Far East,164,62
ec19,Orok,Russian Far East,142,54
Ab22,Chopi,South Tropical Africa,35,-25
Ij9,Easter Islanders,South-Central Pacific,-190,-27
Ij1,Mangaians,South-Central Pacific,-158,-22
Ij7,Mangarevans,South-Central Pacific,-134,-20
Ij3,Marquesans,South-Central Pacific,-140,-9
Ij5,Raroians,South-Central Pacific,-142,-16
Ij8,Tahitians,South-Central Pacific,-150,-18
Ce5,Neapolitans,Southeastern Europe,13,41
Ab11,Xhosa Ngqika,Southern Africa,28,-33
Ih5,Ajie,Southwestern Pacific,165,-22
Ii1,American Samoans,Southwestern Pacific,-170.706485,-14.289155
Ih3,Bunlap,Southwestern Pacific,168,-16
Ii4,Ellice,Southwestern Pacific,178,-8
Ih11,Epi,Southwestern Pacific,168,-17
Ih12,Eromangans,Southwestern Pacific,169,-19
Ii8,Futunans,Southwestern Pacific,-178,-14
If7,Gilbert Onotoa,Southwestern Pacific,174,-2
Ih4,Lau,Southwestern Pacific,179,-18
Ih7,Lifu,Southwestern Pacific,163,-21
If14,Makin,Southwestern Pacific,173,3
Ij4,Manihikians,Southwestern Pacific,-160,-10
Ih14,Mbau Fijians,Southwestern Pacific,179,-18
Ih1,Mota,Southwestern Pacific,168,-14
If13,Nauruans,Southwestern Pacific,166,-1
Ii9,Niueans,Southwestern Pacific,-169,-19
Ii3,Pukapukans,Southwestern Pacific,-166,-11
Ih13,Ranon,Southwestern Pacific,168,-16
Ih6,Rotumans,Southwestern Pacific,177,-13
Ih9,Santa Cruz Islanders,Southwestern Pacific,166,-11
Ih2,Seniang,Southwestern Pacific,167,-17
Ih10,Tannese,Southwestern Pacific,168,-20
Ii2,Tikopia,Southwestern Pacific,168,-12
Ii6,Tokelau,Southwestern Pacific,-172,-9
Ii12,Tongans,Southwestern Pacific,-174,-20
Ij10,Tongarevans,Southwestern Pacific,-158,-9
Ii14,Upolu Samoans,Southwestern Pacific,172,-14
Ii13,Uveans,Southwestern Pacific,-176,-13
Ih8,Vanua Levu,Southwestern Pacific,179,-17
Nc28,Chumash,Southwestern U.S.A.,-120,34
Nc15,Coast Yuki,Southwestern U.S.A.,-124,39
Cf3,Tristan da Cunha,Subantarctic Islands,-12,-37
Na9,Aleut,Subarctic America,-167,54
Na10,Chugach,Subarctic America,-147,60
Nb5,Eyak,Subarctic America,-145,60
Na25,Kalaallit (West Greenland),Subarctic America,-53,69
Na13,Nunatsiarmiut,Subarctic America,-65,65
Na11,Sivokakmeit,Subarctic America,-170,63
Nb22,Tlingit,Subarctic America,-134,58
Af38,Abron,West Tropical Africa,-3,5
Af44,Alagya,West Tropical Africa,-4,5
Af40,Assini,West Tropical Africa,-4,5
Af45,Avikam,West Tropical Africa,-5,5
Ag18,Bijogo,West Tropical Africa,-16,11
Af37,Buem,West Tropical Africa,1,3
Ag19,Diola,West Tropical Africa,-17,12
Af21,Ijaw,West Tropical Africa,6,2
Af14,Sherbro,West Tropical Africa,-13,7
Af57,Temne,West Tropical Africa,-13,8
Cb23,Tukulor,West Tropical Africa,-14,1
Af58,Vai,West Tropical Africa,-12,7
Ae44,Bubi,West-Central Tropical Africa,9,4
Ae2,Kpe,West-Central Tropical Africa,9,4
Cj8,Druze,Western Asia,35,33
Nb14,Comox,Western Canada,-125,50
Nb26,Cowichan,Western Canada,-123,49
Nb3,Kwakwaka'wakw,Western Canada,-128,51
Nd9,Lillooet,Western Canada,-125,50
Nb15,Lummi,Western Canada,-123,49
Nb11,Nuu chah nulth,Western Canada,-126,49
Nb7,Tsimshian,Western Canada,-130,55
Eh9,Antaisaka,Western Indian Ocean,48,-23
Eh8,Sakalava,Western Indian Ocean,41,-21
